(business1)
%/NN	TF:8
loss/NN	TF:1
made/VBD	TF:1
mobile/NN	TF:1
Mobile/NNP	TF:1
OAO/NNP	TF:1
paying/VBG	TF:1
profit/NN	TF:1
profits/NNS	TF:2
quarter/NN	TF:1
raised/VBD	TF:1
resume/VB	TF:1
room/NN	TF:1
rose/VBD	TF:1
Russia/NNP	TF:1
said/VBD	TF:2
sales/NNS	TF:1
Sales/NNS	TF:2
saw/VBD	TF:1
sees/VBZ	TF:1
stakes/NNS	TF:1
telecoms/NNS	TF:1
Telekom/NNP	TF:2
Telesystems/NNP	TF:1
upbeat/NN	TF:1
US/NNP	TF:1
USA/NNP	TF:1
was/VBD	TF:2
Wasserstein/NNP	TF:1
Wittig/NNP	TF:1
year/NN	TF:1
years/NNS	TF:1
£960m/NN	TF:1

(business39)
%/NN	TF:5
acquire/VB	TF:1
agency/NN	TF:2
agreed/VBN	TF:1
Agriculture/NNP	TF:2
Anheuser-Busch/NNP	TF:1
approves/VBZ	TF:1
are/VBP	TF:1
Asset/NNP	TF:2
be/VB	TF:1
beer/NN	TF:1
betting/VBG	TF:1
Bureau/NNP	TF:2
buy/VB	TF:1
capita/NN	TF:1
Changyu/NNP	TF:4
China/NNP	TF:3
city/NN	TF:2
companies/NNS	TF:1
company/NN	TF:1
compares/VBZ	TF:1
consumption/NN	TF:1
deal/NN	TF:1
Department/NNP	TF:2
did/VBD	TF:1
encouraging/VBG	TF:1
exchange/NN	TF:1
France/NNP	TF:1
government/NN	TF:3
growing/VBG	TF:1
has/VBZ	TF:1
have/VBP	TF:1
Heineken/NNP	TF:1
Illva/NNP	TF:4
industry/NN	TF:1
invested/VBN	TF:1
investors/NNS	TF:1
is/VBZ	TF:3
Italy/NNP	TF:2
Japan/NNP	TF:1
liqueur/NN	TF:1
litres/NNS	TF:4
maker/NN	TF:2
Management/NNP	TF:2
market/NN	TF:1
Newcastle/NNP	TF:1
owns/VBZ	TF:1
pay/VB	TF:1
remaining/VBG	TF:1
retained/VBN	TF:1
said/VBD	TF:3
sales/NNS	TF:2
Saronno/NNP	TF:2
say/VB	TF:1
Scottish/NNP	TF:1
sell/VB	TF:2
shares/NNS	TF:2
Shenzhen/NNP	TF:1
stake/NN	TF:1
state/NN	TF:1
State/NNP	TF:2
statement/NN	TF:1
stock/NN	TF:1
tempts/NNS	TF:1
US/NNP	TF:3
wine/NN	TF:4
Yantai/NNP	TF:4
years/NNS	TF:1
yuan/NN	TF:2
£30.7m/NN	TF:1

(business40)
%/NN	TF:3
agreement/NN	TF:2
announced/VBD	TF:1
appraising/VBG	TF:1
benefit/VB	TF:1
boosted/VBN	TF:2
Celtic/NNP	TF:1
Chelsea/NNP	TF:3
Chief/NNP	TF:1
club/NN	TF:1
compensation/NN	TF:1
Cup/NNP	TF:1
deals/NNS	TF:1
end/VB	TF:1
England/NNP	TF:2
Euro/NNP	TF:2
Evolution/NNP	TF:1
Exchange/NNP	TF:1
executive/NN	TF:1
expected/VBN	TF:1
fashion/NN	TF:1
firm/NN	TF:4
football/NN	TF:1
gave/VBD	TF:1
grow/VB	TF:1
growth/NN	TF:1
had/VBD	TF:3
has/VBZ	TF:1
hopes/VBZ	TF:1
including/VBG	TF:1
investment/NN	TF:1
Ireland/NNP	TF:1
is/VBZ	TF:2
January/NNP	TF:1
June/NNP	TF:1
kits/NNS	TF:1
launch/NN	TF:2
lifted/VBN	TF:1
listing/VBG	TF:1
London/NNP	TF:1
lost/VBD	TF:1
make/VB	TF:1
market/NN	TF:1
McGuigan/NNP	TF:1
morning/NN	TF:1
Norway/NNP	TF:1
number/NN	TF:1
opportunities/NNS	TF:1
payment/NN	TF:1
pence/NN	TF:1
Peter/NNP	TF:1
plans/VBZ	TF:1
posted/VBN	TF:1
profit/NN	TF:2
profits/NNS	TF:1
range/NN	TF:1
Rangers/NNPS	TF:1
receive/VB	TF:1
replica/NN	TF:3
reporting/VBG	TF:1
result/NN	TF:1
results/NNS	TF:1
right/NN	TF:1
rise/NN	TF:1
said/VBD	TF:5
sales/NNS	TF:5
seen/VBN	TF:1
Shares/NNS	TF:1
shirt/NN	TF:1
shirts/NNS	TF:1
sides/NNS	TF:1
signed/VBN	TF:1
sponsorship/NN	TF:1
Stock/NNP	TF:1
supplies/NNS	TF:1
Sweden/NNP	TF:1
teams/NNS	TF:1
Thursday/NNP	TF:1
tournament/NN	TF:1
trade/NN	TF:1
UK/NNP	TF:3
Umbro/NNP	TF:5
was/VBD	TF:1
were/VBD	TF:2
world/NN	TF:1
World/NNP	TF:1
X/NNP	TF:1
year/NN	TF:1
years/NNS	TF:1
£15.4m/NNP	TF:1
£24.5m/NNP	TF:1

(business41)
action/NN	TF:1
added/VBD	TF:1
afford/VB	TF:1
Alan/NNP	TF:1
allowing/VBG	TF:1
baby-boom/NN	TF:2
baby/NN	TF:1
be/VB	TF:3
benefits/NNS	TF:2
boom/NN	TF:1
budget/NN	TF:4
Budget/NNP	TF:1
Bush/NNP	TF:1
called/VBD	TF:1
came/VBD	TF:1
capacity/NN	TF:1
chairman/NN	TF:1
changed/VBN	TF:1
changes/NNS	TF:2
clouding/VBG	TF:1
coming/VBG	TF:1
committed/VBN	TF:1
Committee/NNP	TF:1
concerns/NNS	TF:1
Congress/NNP	TF:3
consequences/NNS	TF:1
continue/VB	TF:2
costs/NNS	TF:2
cut/VB	TF:3
cuts/NNS	TF:1
dampening/VBG	TF:1
decades/NNS	TF:1
defence/NN	TF:1
deficit/NN	TF:5
deficits/NNS	TF:1
deliver/VB	TF:1
did/VBD	TF:1
economy/NN	TF:4
effort/NN	TF:1
expected/VBN	TF:1
faces/VBZ	TF:1
fear/VBP	TF:1
Fed/NNP	TF:1
Federal/NNP	TF:1
gap/NN	TF:1
gathers/NNS	TF:1
generation/NN	TF:3
George/NNP	TF:1
government/NN	TF:2
Greenspan/NNP	TF:3
growing/VBG	TF:1
growth/NN	TF:2
has/VBZ	TF:3
have/VB	TF:2
heading/VBG	TF:1
health/NN	TF:1
healthcare/NN	TF:1
homeland/NN	TF:1
House/NNP	TF:1
incomes/NNS	TF:1
increases/NNS	TF:1
increasing/VBG	TF:1
is/VBZ	TF:1
lead/VB	TF:1
made/VBN	TF:1
move/NN	TF:1
Mr/NNP	TF:2
narrow/VB	TF:1
narrowing/NN	TF:1
nation/NN	TF:1
need/VB	TF:1
need/VBP	TF:1
news/NN	TF:1
offer/VB	TF:1
office/NN	TF:1
offset/VBN	TF:1
outlook/NN	TF:1
pace/NN	TF:1
Pension/NN	TF:1
pose/VB	TF:1
posed/VBD	TF:1
President/NNP	TF:1
prevent/VB	TF:1
productivity/NN	TF:1
program/NN	TF:1
programmes/NNS	TF:1
promises/NNS	TF:1
raising/VBG	TF:1
record/NN	TF:2
reinstate/VB	TF:1
require/VBP	TF:1
Reserve/NNP	TF:1
resources/NNS	TF:1
retirees/NNS	TF:1
retirement/NN	TF:2
retires/VBZ	TF:1
rise/VBP	TF:1
rises/NNS	TF:1
risk/NN	TF:1
risks/NNS	TF:1
rules/NNS	TF:1
said/VBD	TF:2
security/NN	TF:1
sees/VBZ	TF:1
Speaking/VBG	TF:1
spending/NN	TF:3
steam/NN	TF:1
strains/NNS	TF:1
surplus/NN	TF:1
swung/VBN	TF:1
take/VB	TF:1
tax/NN	TF:1
taxes/NNS	TF:2
term/NN	TF:1
urged/VBD	TF:2
US/NNP	TF:6
W/NNP	TF:1
warned/VBD	TF:2
warned/VBN	TF:1
warning/NN	TF:1
warnings/NNS	TF:1
were/VBD	TF:3
year/NN	TF:1
years/NNS	TF:1

(business42)
%/NN	TF:1
action/NN	TF:1
actions/NNS	TF:1
be/VB	TF:1
been/VBN	TF:2
benefit/VB	TF:1
blamed/VBD	TF:1
business/NN	TF:1
coal/NN	TF:2
Coal/NNP	TF:5
company/NN	TF:3
conditions/NNS	TF:1
continue/VB	TF:1
continue/VBP	TF:1
costs/NNS	TF:1
deep/NN	TF:1
deepened/VBN	TF:1
Derbyshire/NNP	TF:1
Durham/NNP	TF:1
earnings/NNS	TF:1
executive/NN	TF:1
expected/VBD	TF:1
failed/VBN	TF:1
fallen/VBN	TF:1
fix/VB	TF:1
flaws/NN	TF:1
fortunes/NNS	TF:1
Gerry/NNP	TF:1
gigajoule/NN	TF:2
group/NN	TF:1
had/VBD	TF:3
has/VBZ	TF:1
have/VBP	TF:3
hoped/VBD	TF:1
introduced/VBN	TF:1
issues/NNS	TF:1
journey/NN	TF:1
led/VBN	TF:1
Leicestershire/NNP	TF:1
loss/NN	TF:1
losses/NNS	TF:1
machinery/NN	TF:1
made/VBN	TF:1
maintenance/NN	TF:1
make/VB	TF:1
making/VBG	TF:1
methods/NNS	TF:1
Midlands/NNPS	TF:1
mines/NNS	TF:3
mining/NN	TF:2
Mr/NNP	TF:1
Northumberland/NNP	TF:1
Nottinghamshire/NNP	TF:1
operates/VBZ	TF:1
operating/NN	TF:1
output/NN	TF:1
pence/NN	TF:1
plunges/VBZ	TF:1
price/NN	TF:1
prices/NNS	TF:1
problems/NNS	TF:1
producer/NN	TF:1
production/NN	TF:1
profit/VB	TF:1
profitability/NN	TF:1
progress/NN	TF:2
regime/NN	TF:1
reported/VBD	TF:1
return/VB	TF:2
rise/NN	TF:1
said/VBD	TF:6
selling/NN	TF:1
shaking/VBG	TF:1
Shares/NNP	TF:1
shares/NNS	TF:1
sold/VBN	TF:1
South/NNP	TF:1
Spindler/NNP	TF:2
strides/NNS	TF:1
structures/NNS	TF:1
surface/NN	TF:1
Thursday/NNP	TF:1
trade/NN	TF:1
UK/NNP	TF:6
wage/NN	TF:1
was/VBD	TF:2
were/VBD	TF:2
West/NNP	TF:1
worsening/NN	TF:1
year/NN	TF:1
Yorkshire/NNP	TF:2
£1.2m/NN	TF:1
£51.6m/VB	TF:1

(business43)
%/NN	TF:1
Abdullah/NNP	TF:1
acquiring/VBG	TF:1
Affairs/NNP	TF:1
Al-Faisal/NNP	TF:1
al-Gosaibi/NN	TF:1
am/VBP	TF:1
Arab/NNP	TF:2
Arabia/NNP	TF:1
are/VBP	TF:1
be/VB	TF:1
been/VBN	TF:2
caused/VBN	TF:1
comes/VBZ	TF:1
country/NN	TF:2
created/VBN	TF:1
Crown/NNP	TF:1
demanded/VBD	TF:1
departments/NNS	TF:1
difficulty/NN	TF:1
door/NN	TF:1
employ/VB	TF:1
employed/VBN	TF:1
employing/VBG	TF:2
excuse/NN	TF:1
explanation/NN	TF:1
Foreign/NNP	TF:2
found/VBD	TF:1
generation/NN	TF:1
Ghazi/NNP	TF:1
government/NN	TF:1
graduates/NNS	TF:1
had/VBD	TF:1
half/NN	TF:1
has/VBZ	TF:2
have/VB	TF:1
have/VBP	TF:1
having/VBG	TF:1
hiring/VBG	TF:1
inches/NNS	TF:1
Labour/NNP	TF:1
make/VBP	TF:1
mention/VB	TF:1
Minister/NNP	TF:2
ministry/NN	TF:3
Ministry/NNP	TF:1
move/NN	TF:1
News/NNP	TF:2
newspaper/NN	TF:1
offices/NNS	TF:1
open/VBP	TF:1
place/NN	TF:1
plans/NNS	TF:1
position/NN	TF:1
Prince/NNP	TF:3
progress/NN	TF:1
put/VB	TF:1
quoted/VBD	TF:1
reforms/NNS	TF:1
reported/VBN	TF:1
reports/NNS	TF:1
ruler/NN	TF:1
said/VBD	TF:3
Saud/NNP	TF:2
Saudi/NNP	TF:6
say/VBP	TF:1
saying/VBG	TF:2
segregated/VBN	TF:1
society/NN	TF:1
time/NN	TF:2
told/VBD	TF:1
universities/NNS	TF:1
uproar/NN	TF:1
was/VBD	TF:1
week/NN	TF:1
Women/NNP	TF:1
women/NNS	TF:8
Women/NNS	TF:1
workforce/NN	TF:1
working/VBG	TF:2
year/NN	TF:3

(business44)
%/NN	TF:6
account/NN	TF:2
Analysts/NNS	TF:1
announced/VBN	TF:1
argued/VBD	TF:1
assessed/VBN	TF:1
basis/NN	TF:1
be/VB	TF:2
been/VBN	TF:2
boost/NN	TF:1
Cabinet/NNP	TF:1
came/VBD	TF:1
capital/NN	TF:1
companies/NNS	TF:1
consumer/NN	TF:3
country/NN	TF:1
Dai-ichi/NNP	TF:1
decade/NN	TF:2
decline/NN	TF:1
defined/VBN	TF:1
depressed/VBN	TF:1
disappointing/VBG	TF:1
downgraded/VBN	TF:1
Economic/NNP	TF:1
economies/NNS	TF:1
economist/NN	TF:1
economy/NN	TF:10
end/NN	TF:1
estimate/NN	TF:1
expectations/NNS	TF:1
exports/NNS	TF:1
fact/NN	TF:1
factors/NNS	TF:2
fall/NN	TF:2
falls/NNS	TF:1
fell/VBD	TF:3
figures/NNS	TF:3
Figures/NNS	TF:1
Fiscal/NNP	TF:1
follows/VBZ	TF:1
forecast/VBN	TF:1
fuelled/VBN	TF:1
GDP/NNP	TF:3
gone/VBN	TF:1
goods/NNS	TF:1
government/NN	TF:3
grew/VBD	TF:1
Gross/NNP	TF:2
growth/NN	TF:5
had/VBD	TF:2
has/VBZ	TF:4
Heizo/NNP	TF:1
Iizuka/NNP	TF:1
improvement/NN	TF:1
Institute/NNP	TF:1
is/VBZ	TF:3
Japan/NNP	TF:5
judging/VBG	TF:1
July/NNP	TF:1
Life/NNP	TF:1
look/VB	TF:1
look/VBP	TF:1
market/NN	TF:1
measures/VBZ	TF:1
Minister/NNP	TF:1
Ministers/NNS	TF:1
months/NNS	TF:3
Mr/NNP	TF:1
Naoki/NNP	TF:1
Office/NNP	TF:1
outlook/NN	TF:1
patches/NNS	TF:1
perception/NN	TF:1
performance/NN	TF:2
period/NN	TF:1
picture/NN	TF:1
pointed/VBD	TF:1
Policy/NNP	TF:1
politicians/NNS	TF:1
produced/VBN	TF:1
product/NN	TF:2
profits/NNS	TF:1
prospects/NNS	TF:1
quarters/NNS	TF:2
recession/NN	TF:5
recording/VBG	TF:1
recover/VB	TF:1
recovery/NN	TF:2
reflects/VBZ	TF:1
released/VBN	TF:1
remain/VBP	TF:1
remains/VBZ	TF:1
Research/NNP	TF:1
results/NNS	TF:1
revised/VBD	TF:1
rise/NN	TF:1
rose/VBD	TF:1
said/VBD	TF:3
see/VB	TF:1
seen/VBN	TF:1
September/NNP	TF:1
services/NNS	TF:1
showed/VBD	TF:1
slides/NNS	TF:1
slipped/VBN	TF:1
slowdown/NN	TF:1
spending/NN	TF:4
stage/NN	TF:1
state/NN	TF:1
status/NN	TF:1
stock/NN	TF:1
stressed/VBD	TF:1
stretches/NNS	TF:1
Takenaka/NNP	TF:2
takes/VBZ	TF:1
taking/VBG	TF:1
time/NN	TF:1
tips/VBZ	TF:1
Tokyo/NNP	TF:1
upturn/NN	TF:1
value/NN	TF:2
was/VBD	TF:2
Wednesday/NNP	TF:1
were/VBD	TF:2
winter/NN	TF:1
year/NN	TF:3
yen/NN	TF:1

(business45)
%/NN	TF:1
added/VBD	TF:1
agency/NN	TF:1
analyst/NN	TF:2
announcement/NN	TF:1
anticipate/VBP	TF:1
approach/NN	TF:1
are/VBP	TF:1
barrel/NN	TF:1
be/VB	TF:2
becomes/VBZ	TF:1
BP/NNP	TF:1
calm/VB	TF:1
came/VBD	TF:1
cartel/NN	TF:1
Citigroup/NNP	TF:1
City/NNP	TF:1
closed/VBN	TF:1
closing/VBG	TF:1
Coast/NNP	TF:1
colder/NN	TF:1
combination/NN	TF:1
Company/NNP	TF:1
Cooper/NNP	TF:1
crude/NN	TF:3
cut/VB	TF:1
dealers/NNS	TF:1
declining/VBG	TF:1
demand/NN	TF:2
dollar/NN	TF:1
drop/NN	TF:1
Ed/NNP	TF:1
Energy/NNP	TF:1
failed/VBN	TF:1
fears/NNS	TF:3
fire/NN	TF:1
followed/VBD	TF:1
fresh/VB	TF:1
fuel/NN	TF:2
futures/NNS	TF:2
gains/NNS	TF:1
gallon/NN	TF:1
gasoline/NN	TF:1
Gasoline/NN	TF:1
Global/NNP	TF:1
go/VB	TF:1
government/NN	TF:1
group/NN	TF:1
Gulf/NNP	TF:1
has/VBZ	TF:1
have/VBP	TF:3
head/VB	TF:1
high/NN	TF:2
highs/NNS	TF:1
holiday/NN	TF:1
Houston/NNP	TF:1
Instability/NNP	TF:1
Iraq/NNP	TF:1
is/VBZ	TF:1
issues/NNS	TF:1
jump/NN	TF:1
jumped/VBD	TF:1
Kyle/NNP	TF:1
levels/NNS	TF:1
market/NN	TF:3
Markets/NNP	TF:1
means/VBZ	TF:1
Merchant/NNP	TF:1
New/NNP	TF:1
news/NN	TF:1
oil/NN	TF:2
Oil/NN	TF:1
Opec/NNP	TF:2
part/NN	TF:1
petrol/NN	TF:3
played/VBN	TF:1
prices/NNS	TF:5
problems/NNS	TF:3
product/NN	TF:1
production/NN	TF:7
propelled/VBD	TF:1
rally/NN	TF:1
record/NN	TF:1
refinery/NN	TF:5
Refining/NNP	TF:1
rein/VB	TF:1
report/NN	TF:1
Reuters/NNP	TF:1
rise/NN	TF:1
risen/VBN	TF:1
rising/VBG	TF:2
running/VBG	TF:1
say/VB	TF:1
season/NN	TF:1
showed/VBD	TF:1
shut/VBP	TF:1
Silliere/NNP	TF:1
soared/VBN	TF:1
spokesman/NN	TF:1
Spring/NNP	TF:1
supplies/NNS	TF:1
surge/NN	TF:1
surge/VBP	TF:1
taken/VBN	TF:1
terrorism/NN	TF:1
Texas/NNP	TF:3
time/NN	TF:1
told/VBD	TF:1
tracked/VBD	TF:1
Tuesday/NNP	TF:1
unit/NN	TF:1
US/NNP	TF:4
value/NN	TF:1
wants/VBZ	TF:1
was/VBD	TF:4
weather/NN	TF:1
weeks/NNS	TF:1
were/VBD	TF:1
year/NN	TF:1
York/NNP	TF:1

(business46)
%/NN	TF:9
's/VBZ	TF:1
-may/NN	TF:1
-which/NNP	TF:1
According/VBG	TF:1
afternoon/NN	TF:1
Analysts/NNS	TF:1
are/VBP	TF:1
arguing/VBG	TF:1
assessment/NN	TF:1
back/NN	TF:1
Bank/NNP	TF:1
be/VB	TF:1
been/VBN	TF:1
believe/VBP	TF:1
casting/VBG	TF:1
conditions/NNS	TF:1
consumer/NN	TF:1
country/NN	TF:1
data/NN	TF:1
date/NN	TF:1
decline/NN	TF:2
demand/NN	TF:4
do/VBP	TF:1
dollar/NN	TF:1
doubt/NN	TF:1
downgraded/VBD	TF:1
dropped/VBD	TF:1
economist/NN	TF:1
economy/NN	TF:3
Economy/NNP	TF:1
edged/VBD	TF:1
ending/VBG	TF:1
entering/VBG	TF:1
expected/VBN	TF:1
Experts/NNS	TF:1
exports/NNS	TF:1
fall/NN	TF:2
falling/VBG	TF:1
falls/NNS	TF:1
fell/VBD	TF:2
figures/NNS	TF:2
forecast/NN	TF:1
forecasting/VBG	TF:1
government/NN	TF:2
grown/VBN	TF:1
growth/NN	TF:1
Growth/NNP	TF:1
had/VBD	TF:1
has/VBZ	TF:1
have/VBP	TF:1
highs/NNS	TF:1
Industrial/NNP	TF:1
Industry/NNP	TF:1
inventories/NNS	TF:1
is/VBZ	TF:2
Japan/NNP	TF:3
led/VBN	TF:1
levels/NNS	TF:1
METI/NNP	TF:2
Ministry/NNP	TF:1
month/NN	TF:5
Nikkei/NNP	TF:1
November/NNP	TF:1
October/NNP	TF:3
official/NN	TF:1
officials/NNS	TF:1
oil/NN	TF:1
outlook/NN	TF:1
output/NN	TF:3
parts/NNS	TF:1
patch/NN	TF:1
phase/NN	TF:1
phones/NNS	TF:1
played/VBD	TF:1
preyed/VBN	TF:1
prices/NNS	TF:1
Production/NNP	TF:1
quarter/NN	TF:3
quarters/NNS	TF:1
recovery/NN	TF:1
reflecting/VBG	TF:1
remains/VBZ	TF:1
rise/NN	TF:2
rising/VBG	TF:1
rose/VBD	TF:1
said/VBD	TF:2
say/VB	TF:1
September/NNP	TF:1
shares/NNS	TF:1
sign/NN	TF:1
slowed/VBD	TF:2
stagnated/VBD	TF:1
strength/NN	TF:1
Takashi/NNP	TF:1
televisions/NNS	TF:1
think/VB	TF:1
time/NN	TF:1
trade/NN	TF:1
Trade/NNP	TF:1
UFJ/NNP	TF:1
unemployment/NN	TF:3
was/VBD	TF:2
way/NN	TF:1
were/VBD	TF:1
worsened/VBN	TF:1
Yamanaka/NNP	TF:1
year/NN	TF:2
years/NNS	TF:1

(business47)
added/VBD	TF:2
air/NN	TF:1
Airbus/NNP	TF:1
aircraft/NN	TF:1
airline/NN	TF:5
allowed/VBD	TF:1
are/VBP	TF:1
be/VB	TF:3
been/VBN	TF:2
Boeing/NNP	TF:3
Bonderman/NNP	TF:1
book/NN	TF:1
brings/VBZ	TF:1
budget/NN	TF:1
Budget/NNP	TF:1
carrier/NN	TF:1
carry/VB	TF:1
chairman/NN	TF:1
competition/NN	TF:1
continue/VB	TF:1
costs/NNS	TF:4
created/VBN	TF:1
cut/VB	TF:1
David/NNP	TF:1
deal/NN	TF:2
delivered/VBN	TF:1
delivery/NN	TF:2
drop/NN	TF:1
end/NN	TF:1
Europe/NNP	TF:1
excluding/VBG	TF:1
expects/VBZ	TF:1
fall/VB	TF:1
fares/NNS	TF:1
firm/NN	TF:1
fuel/NN	TF:2
had/VBD	TF:1
has/VBZ	TF:3
have/VB	TF:1
have/VBP	TF:1
help/VB	TF:1
hit/VBN	TF:1
jobs/NNS	TF:2
lead/VB	TF:1
maker/NN	TF:2
making/VBG	TF:1
market/NN	TF:1
move/NN	TF:1
news/NN	TF:1
operating/NN	TF:3
option/NN	TF:1
options/NNS	TF:1
order/NN	TF:4
orders/NNS	TF:2
overtaken/VBN	TF:1
passengers/NNS	TF:1
place/NN	TF:1
placed/VBN	TF:1
plane/NN	TF:3
planes/NNS	TF:4
pricing/NN	TF:1
profit/NN	TF:1
prospects/NNS	TF:1
reduce/VB	TF:1
reduced/VBN	TF:1
reported/VBD	TF:2
results/NNS	TF:1
Ryanair/Boeing/VBG	TF:1
Ryanair/NN	TF:1
Ryanair/NNP	TF:6
said/VBD	TF:3
seen/VBN	TF:1
taken/VBN	TF:1
unit/NN	TF:2
valued/VBN	TF:1
was/VBD	TF:2
world/NN	TF:1
year/NN	TF:5
years/NNS	TF:4
£2.1bn/NN	TF:1

(business48)
%/NN	TF:4
accounting/NN	TF:1
administrators/NNS	TF:1
agency/NN	TF:1
amounting/VBG	TF:1
Apcom/NNP	TF:1
appointed/VBN	TF:1
are/VBP	TF:4
asked/VBN	TF:1
be/VB	TF:3
Bondi/NNP	TF:2
bust/NN	TF:1
Chamber/NNP	TF:1
commission/NN	TF:1
company/NN	TF:4
converted/VBN	TF:1
creditors/NNS	TF:5
Creditors/NNS	TF:1
dairy/NN	TF:1
debt/NN	TF:2
debts/NNS	TF:3
Deputies/NNP	TF:1
detailed/VBD	TF:1
elements/NNS	TF:1
Enrico/NNP	TF:1
euros/NNS	TF:2
exchange/NN	TF:2
executive/NN	TF:1
executives/NNS	TF:1
expected/VBN	TF:1
fall/NN	TF:1
Finanziaria/NNP	TF:2
find/VB	TF:1
firm/NN	TF:1
fraud/NN	TF:1
gained/VBD	TF:1
give/VB	TF:1
government/NN	TF:1
group/NN	TF:2
had/VBD	TF:1
hearing/NN	TF:1
history/NN	TF:1
hoped/VBD	TF:1
hopes/VBZ	TF:1
industry/NN	TF:1
investigation/NN	TF:1
is/VBZ	TF:2
issued/VBN	TF:1
issues/NNS	TF:1
Italian/NNP	TF:2
July/NNP	TF:2
Lawmakers/NNS	TF:1
lawmakers/NNS	TF:1
market/NN	TF:1
news/NN	TF:1
night/NN	TF:2
operating/NN	TF:1
owed/VBN	TF:1
Parmalat/NNP	TF:8
part/NN	TF:1
percentage/NN	TF:1
plan/NN	TF:2
plans/NNS	TF:1
point/NN	TF:1
positions/NNS	TF:1
protection/NN	TF:1
quotation/NN	TF:1
quoted/VBD	TF:1
re-listing/NN	TF:1
re-listing/VBG	TF:1
receive/VB	TF:1
receive/VBP	TF:1
results/NNS	TF:1
return/VB	TF:1
revealing/VBG	TF:1
said/VBD	TF:1
saying/VBG	TF:1
scandal/NN	TF:2
see/VB	TF:1
share/NN	TF:1
shares/NNS	TF:3
solution/NN	TF:1
specialist/NN	TF:1
spoke/VBD	TF:1
stated/VBN	TF:1
statement/NN	TF:2
stock/NN	TF:2
stockmarket/VB	TF:1
supplied/VBD	TF:1
times/NNS	TF:1
top/NN	TF:1
turnaround/NN	TF:1
vote/VB	TF:1
was/VBD	TF:1
Wednesday/NNP	TF:2
went/VBD	TF:1
worth/VBP	TF:1
year/NN	TF:1
£9.6bn/NN	TF:1

(business49)
've/VBP	TF:1
according/VBG	TF:1
account/NN	TF:1
admits/VBZ	TF:1
adventure/NN	TF:1
announced/VBN	TF:1
announcement/NN	TF:1
are/VBP	TF:6
association/NN	TF:1
Automotive/NNP	TF:1
be/VB	TF:4
Beetle/NNP	TF:1
being/VBG	TF:1
Benz/NNP	TF:1
BMW/NNP	TF:10
board/NN	TF:1
body/NN	TF:1
boom/NN	TF:1
bought/VBD	TF:1
Brad/NNP	TF:1
brand/NN	TF:2
build/VB	TF:1
building/NN	TF:1
buildings/NNS	TF:1
buyers/NNS	TF:1
buying/NN	TF:1
C180/NNP	TF:1
came/VBD	TF:1
car/NN	TF:4
cars/NNS	TF:7
cash/NN	TF:1
company/NN	TF:1
compared/VBN	TF:1
confirms/VBZ	TF:1
consortium/NN	TF:1
consumers/NNS	TF:1
continue/VB	TF:1
Convertible/NNP	TF:1
convinced/VBN	TF:1
Cooper/NNP	TF:3
Corporation/NNP	TF:1
cost/NN	TF:1
costs/VBZ	TF:2
Cowley/NNP	TF:2
created/VBN	TF:1
days/NNS	TF:1
deal/NN	TF:1
decision/NN	TF:1
demand/NN	TF:2
depreciates/NNS	TF:1
did/VBD	TF:1
does/VBZ	TF:1
double/VB	TF:1
employs/VBZ	TF:1
Europe/NNP	TF:1
everyone/NN	TF:1
factory/NN	TF:7
fetch/VB	TF:1
Ford/NNP	TF:1
fork/VB	TF:1
fuel/VB	TF:1
gone/VBN	TF:2
group/NN	TF:1
had/VBD	TF:1
has/VBZ	TF:4
have/VB	TF:1
help/VB	TF:2
hopes/VBZ	TF:1
included/VBN	TF:1
including/VBG	TF:1
industry/NN	TF:1
Industry/NNP	TF:1
Initially/NNP	TF:1
invested/VBN	TF:2
investment/NN	TF:2
is/VBZ	TF:8
jobs/NNS	TF:1
Land/NNP	TF:1
land/VB	TF:1
launch/NN	TF:1
launched/VBN	TF:4
Less/NNP	TF:1
list/NN	TF:1
lists/NNS	TF:1
Longbridge/NNP	TF:2
machinery/NN	TF:1
made/VBN	TF:2
maker/NN	TF:2
management/NN	TF:1
member/NN	TF:1
Mercedes/NNP	TF:1
MG/NNP	TF:2
Mini-workers/NNS	TF:1
Mini/NNP	TF:15
Minis/NNP	TF:2
model/NN	TF:3
models/NNS	TF:1
modernised/VBN	TF:1
News/NNP	TF:1
Norbert/NNP	TF:1
number/NN	TF:1
numbers/NNS	TF:1
One/NNP	TF:1
ones/NNS	TF:1
operates/VBZ	TF:1
output/NN	TF:2
outskirts/NNS	TF:1
own/VB	TF:1
owned/VBD	TF:1
Oxford/NNP	TF:3
paint/NN	TF:1
Parker/NNP	TF:1
people/NNS	TF:2
Phoenix/NNP	TF:1
plans/NNS	TF:2
plant/NN	TF:1
price/NN	TF:1
priced/VBN	TF:1
produce/VB	TF:2
produced/VBD	TF:3
produced/VBN	TF:2
producing/VBG	TF:2
production/NN	TF:4
put/VBN	TF:1
raise/VB	TF:1
raised/VBD	TF:1
Range/NNP	TF:1
reached/VBN	TF:1
received/VBN	TF:1
Reithofer/NNP	TF:1
remains/VBZ	TF:1
response/NN	TF:1
result/NN	TF:1
rise/NN	TF:1
risk/NN	TF:1
Rover/NNP	TF:8
Rovers/NNP	TF:2
rumours/NNS	TF:1
S/NNP	TF:2
SAIC/NNP	TF:1
said/VBD	TF:3
sales/NNS	TF:1
scepticism/NN	TF:1
